run_time,problem_size_10,problem_size_20,problem_size_40,problem_size_80,problem_size_160
0,416,3840,-1,-1,-1
1,320,3584,-1,-1,-1
2,416,3072,-1,-1,-1
3,448,3840,-1,-1,-1
4,512,3072,-1,-1,-1
5,384,3072,-1,-1,-1
6,128,4352,-1,-1,-1
7,128,3840,-1,-1,-1
8,384,3840,-1,-1,-1
9,384,3840,-1,-1,-1
