run_time,problem_size_10,problem_size_20,problem_size_40,problem_size_80,problem_size_160
0,96,256,960,2816,-1
1,96,256,576,2560,-1
2,112,272,768,4352,-1
3,128,272,832,2304,-1
4,144,256,704,3840,-1
5,112,352,896,3072,-1
6,104,320,960,2816,-1
7,64,240,832,4353,-1
8,104,288,768,3584,-1
9,136,288,896,2560,-1
