run_time,problem_size_10,problem_size_20,problem_size_40,problem_size_80,problem_size_160
0,142.0,385.2,965.6,1958.4,5928.0
1,112.0,324.0,676.8,2142.4,6792.0
2,121.6,288.4,655.6,1977.6,3776.0
3,158.4,237.6,686.4,1812.8,4219.2
4,217.6,308.0,780.0,2111.2,5068.8
5,133.2,288.4,655.6,2262.4,4608.0
6,121.6,239.8,724.8,1987.2,5907.2
7,89.6,385.2,800.8,2273.6,4592.0
8,123.2,280.0,696.0,1968.0,5865.6
9,113.6,303.0,928.0,2121.6,4608.0
