run_time,problem_size_10,problem_size_20,problem_size_40,problem_size_80,problem_size_160
0,883.2,3200,18432,74905,344064
1,768,3379.2,10598.4,72704,353280
2,1008,3563.2,14592,119680,337920
3,1075.2,3372.8,15974.4,67737.6,354986
4,1252.8,3353.6,13446.4,111360,349525
5,884.8,4576,16844.8,81408,360448
6,873.6,4032,17280,81664,335872
7,531.2,3048,15808,118374.4,341606.4
8,863.2,3830,14668.8,99635.2,341333.3
9,1183.2,3657.6,17113.6,76544,428714.7
